_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
6404acfb5027fd0b051afeac||31.47|78.75|36.8|57.2|59,5,0,4|quote|4369|0|0|22.5|0|0|false|false|english|none|normal|false|false|false||1678028027000
6404ace15027fd0b051afdbb||34.33|82.61|39.8|42.89|69,3,0,0|quote|305|0|0|24.12|0|0|false|false|english|none|normal|false|false|false||1678028001000
6404acc45027fd0b051afcac||48.47|94.92|62.48|56.53|45,0,0,2|quote|5861|0|0|11.14|0|0|false|false|english|none|normal|false|false|false||1678027972000
6404acb05027fd0b051afc02||37.44|85.71|45.71|59.69|77,2,0,2|quote|288|0|0|24.68|0|0|false|false|english|none|normal|false|false|false||1678027952000
6404ac915027fd0b051afae1||26.27|81.97|43.5|70.02|32,0,0,4|quote|5596|0|0|14.62|0|0|false|false|english|none|normal|false|false|false||1678027921000
6404ac7a5027fd0b051afa20||37.98|80.6|46.51|59.34|49,4,0,0|quote|1409|0|0|15.48|0|0|false|false|english|none|normal|false|false|false||1678027898000
6404ac5d5027fd0b051af91b||36.67|85.57|40.48|55.72|77,1,0,0|quote|5207|0|0|25.2|0|0|false|false|english|none|normal|false|false|false||1678027869000
6404ac395027fd0b051af7e8||35.41|84.15|37.59|55.64|65,1,0,0|quote|2465|0|0|22.03|0|0|false|false|english|none|normal|false|false|false||1678027833000
6404ac195027fd0b051af6e9||26.01|76.39|27.98|30.68|53,1,0,0|quote|5444|0|0|24.45|0|0|false|false|english|none|normal|false|false|false||1678027801000
6404abfe5027fd0b051af5e6||40.08|85.71|51.93|49.58|71,5,0,2|quote|6103|0|0|21.26|0|0|false|false|english|none|normal|false|false|false||1678027774000
6404abdb5027fd0b051af4b7||36.69|85.45|49.59|63.92|37,1,0,1|quote|5586|0|0|12.1|0|0|false|false|english|none|normal|false|false|false||1678027739000
6404abc85027fd0b051af40f||34.87|86.96|34.87|47.52|79,0,0,0|quote|6532|0|0|27.19|0|0|false|false|english|none|normal|false|false|false||1678027720000
6404aba15027fd0b051af2d5||53.73|97.1|58|66.52|63,0,0,1|quote|5446|0|0|14.07|0|0|false|false|english|none|normal|false|false|false||1678027681000
6404ab8c5027fd0b051af220||31.12|83.12|33.76|51.52|59,0,0,1|quote|5649|0|0|22.75|0|0|false|false|english|none|normal|false|false|false||1678027660000
6404ab715027fd0b051af146||43.58|89.39|48.25|68.08|56,1,0,1|quote|3985|0|0|15.42|0|0|false|false|english|none|normal|false|false|false||1678027633000
